postcode,point_coord,street,city,state,is_klang_valley,is_peninsular,is_east_malaysia,is_kuala_lumpur
1000,POINT(6.4312 100.2056),Alor Redeh,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Alor Tok Terang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Bohor Gelam,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Abi Tok Hashim,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Alor Sena,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Arau,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Besar Kangar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Bohor Guncar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Bukit Meranti,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Home Guard,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Hospital,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Jubli Perak,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Kaki Bukit (Batu 4 1/2),Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Kampung Wan Abdullah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Kangar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Kurung Batang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Masjid Lama,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Medan Kangar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Padang Bohor,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Panglima,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Pegawai,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Penjara,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Raja Muda,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Raja Syed Alwi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Raja Syed Saffi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Santan (Km 5),Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Seruling,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Syed Omar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Taman Bunga Padi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Teluk Kacang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Tok Kandang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jalan Tun Razak,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Jejawi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Abi Batas Paip,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Abi Padang Machang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Abi Pokok Asam,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Abi Tok Hashim,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Alor Ara,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Alor Dalam,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Alor Kabong,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Alor Lanchang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Alor Marus,Kangar,Perlis,0,1,0,0
